,,,S-1,S-1,S-1,S-1,S-2,S-2,S-2,S-2,S-3,S-3,S-3,S-3,S-4,S-4,S-4,S-4
Date-hour,Ambient air temperature (°C),Ambient relative humidity (%),Total electricity consumption (kWh),Indoor air temperature (°C),Indoor relative humidity (%),PMV (calculated),Total electricity consumption (kWh),Indoor air temperature (°C),Indoor relative humidity (%),PMV (calculated),Total electricity consumption (kWh),Indoor air temperature (°C),Indoor relative humidity (%),PMV (calculated),Total electricity consumption (kWh),Indoor air temperature (°C),Indoor relative humidity (%),PMV (calculated)
01-06-23 00:00,19.429,90,0.115,23.9,72,-0.332,0.548,24.6,67.2,-0.119,0,24.1,71.8,-0.263,,23.6,71.8,-0.438
01-06-23 01:00,19.149,90,0.065,23.8,71.9,-0.367,0.495,24.7,66.7,-0.088,0,24.1,71.3,-0.266,,23.2,72,-0.576
01-06-23 02:00,18.8,90.326,0.062,23.7,71.4,-0.405,0.486,24.8,66.5,-0.054,0,24.1,70.9,-0.269,,23,72.8,-0.64
01-06-23 03:00,18.8,90.977,0.06,23.6,71.7,-0.438,0.491,24.7,66.3,-0.09,0,24.1,70.4,-0.272,,22.8,73.3,-0.706
01-06-23 04:00,18.949,91.829,0.069,23.5,72.2,-0.47,0.48,24.7,66.2,-0.091,0,24.1,70.1,-0.274,,22.7,73.6,-0.739
01-06-23 05:00,18.935,92,0.061,23.4,72.5,-0.503,0.487,24.7,66.2,-0.091,0,24,69.9,-0.311,,22.7,73.8,-0.738
01-06-23 06:00,18.899,92,0.063,23.3,72.5,-0.538,0.49,24.7,66.2,-0.091,0,24,69.7,-0.312,,22.6,74,-0.772
01-06-23 07:00,18.913,92.488,1.445,22.9,74.2,-0.666,0.535,24.6,66.2,-0.126,0,24,69.4,-0.314,,22.6,74.2,-0.77
01-06-23 08:00,19.933,91.822,0.935,23.2,75.1,-0.556,0.567,24.7,66.2,-0.091,0.026,24,69.4,-0.314,,22.5,74.3,-0.804
01-06-23 09:00,20.75,89.651,0.084,23.1,75.1,-0.591,0.55,24.6,66.3,-0.125,0.036,24,70.5,-0.307,,22.5,74.8,-0.801
01-06-23 10:00,21.665,84.488,0.436,23.3,74.5,-0.525,0.572,24.7,66.4,-0.09,0.073,24.1,70.6,-0.271,,22.8,75.4,-0.693
01-06-23 11:00,22.164,81.984,0.257,23.3,73.9,-0.529,0.984,24.8,66.4,-0.055,0.121,24.2,71.3,-0.231,,23,74.7,-0.628
01-06-23 12:00,22.682,80.488,0.064,23.5,73.3,-0.463,0.237,24.6,66.3,-0.125,0.133,24.2,70.4,-0.237,,23,74.3,-0.631
01-06-23 13:00,22.899,81.829,0.059,23.8,73.8,-0.355,0.419,24.7,68,-0.079,0.377,24.3,70.2,-0.204,,23.2,74.2,-0.562
01-06-23 14:00,22.899,79.659,0.055,24.2,72.7,-0.222,0.581,24.5,67.3,-0.153,0.642,24.5,70.3,-0.133,,23.3,74.1,-0.527
01-06-23 15:00,23.315,78.822,0.082,24.4,72.1,-0.156,0.516,24.7,66.5,-0.089,0.71,24.6,70.2,-0.098,,23.3,73.9,-0.529
01-06-23 16:00,23.299,78.488,0.123,25.1,70.1,0.077,0.51,24.8,65.6,-0.06,0.143,24.7,70.2,-0.063,,23.3,73.7,-0.53
01-06-23 17:00,22.398,80.318,0.081,24.9,70.3,0.008,0.568,24.8,65.5,-0.061,0.175,24.6,70,-0.1,,23.4,73.3,-0.498
01-06-23 18:00,22.065,83.488,0.068,24.7,70.2,-0.063,0.574,24.9,65.7,-0.025,0.182,24.5,69.8,-0.136,,23.1,73.8,-0.599
01-06-23 19:00,21.549,84.992,0.107,24.3,72.8,-0.186,0.6,24.9,65.8,-0.024,0.171,24.5,70.8,-0.129,,22.9,73.5,-0.67
01-06-23 20:00,21.299,86.814,2.333,24.3,74.5,-0.174,0.58,25,66.5,0.016,0.161,24.5,71,-0.128,,22.9,75.6,-0.657
01-06-23 21:00,21.099,87.829,0.391,24.3,74.3,-0.176,0.601,25,66.5,0.016,0.713,24.5,75.9,-0.094,,22.6,74.1,-0.771
01-06-23 22:00,20.834,88,0.416,24.1,73.4,-0.252,0.581,25,66.7,0.018,0.131,24.5,75.3,-0.099,,22.2,73.7,-0.912
01-06-23 23:00,20.915,88.977,0.118,24,73.8,-0.285,0.59,25.1,66.9,0.054,0.056,24.5,74.2,-0.106,,22.2,73.7,-0.912
02-06-23 00:00,20.834,88.977,0.085,23.8,74.3,-0.351,0.563,25.1,66.8,0.053,0,24.4,73.4,-0.147,,22.3,73.6,-0.878
02-06-23 01:00,20.967,89.659,0.083,23.7,75.2,-0.381,0.523,25.1,67.1,0.056,0,24.3,72.7,-0.187,,22.4,73.5,-0.844
