,,,W-1,W-1,W-1,W-1,W-2,W-2,W-2,W-2,W-3,W-3,W-3,W-3,W-4,W-4,W-4,W-4
Date-hour,Ambient air temperature (°C),Ambient relative humidity (%),Total electricity consumption (kWh),Indoor air temperature (°C),Indoor relative humidity (%),PMV (calculated),Total electricity consumption (kWh),Indoor air temperature (°C),Indoor relative humidity (%),PMV (calculated),Total electricity consumption (kWh),Indoor air temperature (°C),Indoor relative humidity (%),PMV (calculated),Total electricity consumption (kWh),Indoor air temperature (°C),Indoor relative humidity (%),PMV (calculated)
26-10-21 00:00,18,65.9,0.038,23.9,61.7,0.091,0.038,23,72.6,-0.103,0.112,21.8,62.8,-0.511,0.038,23,62.4,-0.17
26-10-21 01:00,18,64.7,0.031,23.7,61.5,0.031,0.031,22.9,72.6,-0.132,0.076,21.8,63.1,-0.51,0.031,22.9,62.2,-0.168
26-10-21 02:00,18.2,65.9,0.051,23.7,61.4,0.031,0.495,22.8,72.7,-0.161,0.073,21.7,63.2,-0.538,0.038,22.9,62,-0.167
26-10-21 03:00,18.2,65.6,0.054,23.6,60.9,-0.002,0.393,22.7,72.9,-0.189,0.072,21.7,63.2,-0.538,0.087,22.8,62.6,-0.197
26-10-21 04:00,18.2,69,0.184,23.5,60.9,-0.031,0.178,22.6,72.8,-0.219,0.063,21.6,63.2,-0.567,0.068,22.9,63.1,-0.198
26-10-21 05:00,17.2,74.9,0.195,23.6,60.9,-0.002,0.192,22.5,72.8,-0.249,0.064,21.6,63.2,-0.567,0.052,22.7,59.1,-0.224
26-10-21 06:00,17.4,74.6,0.197,23.6,60.7,-0.003,0.207,22.4,72.9,-0.277,0.084,21.6,63.3,-0.566,0.104,22.5,57.7,-0.192
26-10-21 07:00,17.7,73.6,0.781,23.7,61,0.028,0.165,22.5,71.3,-0.258,0.065,21.6,63.4,-0.565,0.113,22.3,57.2,-0.274
26-10-21 08:00,17.9,73,0.246,23.7,60.4,0.024,0.176,22.3,67,-0.342,0.073,21.6,63.3,-0.566,0.148,22.2,56.7,-0.34
26-10-21 09:00,18,73,0.041,23.6,57.8,-0.022,0.684,22.3,65.8,-0.349,0.072,21.6,63.4,-0.565,0.113,22.3,57.7,-0.401
26-10-21 10:00,18.2,72.3,0.192,23.6,58.3,-0.019,0.159,22.3,63.7,-0.362,0.082,21.6,63.6,-0.564,0.108,22.2,57.4,-0.433
26-10-21 11:00,18.2,71.1,0.554,23.5,57.5,-0.053,0.212,22.4,61.4,-0.347,0.258,21.5,63.6,-0.593,0.113,22.1,56.3,-0.398
26-10-21 12:00,18.7,70.4,0.216,23.4,56.6,-0.088,0.421,22.6,63.3,-0.277,0.248,21.5,63.9,-0.591,0.152,22.2,57.4,-0.428
26-10-21 13:00,18.6,69.5,0.263,23.5,57.9,-0.05,0.199,22.7,64.9,-0.239,0.057,21.5,63.3,-0.595,0.041,22.4,58.5,-0.464
26-10-21 14:00,18.6,69.2,0.252,23.5,58.5,-0.046,0.207,22.9,66.6,-0.17,0.076,21.5,62.8,-0.598,0.115,22.5,59.6,-0.428
26-10-21 15:00,18.2,69.8,0.26,23.5,59,-0.043,0.168,23,67.6,-0.134,0.091,21.5,63.2,-0.595,0.746,22.5,60.5,-0.364
26-10-21 16:00,18.1,72.9,0.306,23.5,58.9,-0.044,0.413,23.4,69.2,-0.007,0.108,21.5,63.3,-0.595,0.204,22.5,61.1,-0.329
26-10-21 17:00,17,77.8,0.309,23.4,58.8,-0.074,0.441,23.3,69.6,-0.034,0.254,21.5,63.9,-0.591,0.189,22.5,62.1,-0.323
26-10-21 18:00,15.8,85.9,0.289,23.5,59.4,-0.041,0.255,23.5,69.3,0.023,0.357,21.5,64.1,-0.59,0.163,22.5,62.8,-0.32
26-10-21 19:00,15.6,86.6,0.309,23.4,60,-0.066,1.535,23.4,70.2,0,0.107,21.5,64.6,-0.587,0.138,22.6,63.8,-0.314
26-10-21 20:00,15,86.8,0.269,23.4,60.4,-0.063,3.295,23.3,70.9,-0.025,0.123,21.5,65.8,-0.58,0.163,22.7,64.4,-0.309
26-10-21 21:00,14.5,89.9,0.285,23.4,60.6,-0.062,0.381,23.2,70.3,-0.059,0.119,21.4,65.9,-0.609,0.273,22.6,64.8,-0.274
26-10-21 22:00,14.2,89.6,0.275,23.4,61.3,-0.058,1.673,23.2,71.2,-0.053,0.088,21.4,65.7,-0.61,0.361,22.5,65.7,-0.242
26-10-21 23:00,13.9,89.8,0.219,23.4,61.6,-0.056,0.573,23.1,71.5,-0.08,0.086,21.4,65.8,-0.609,0.416,22.5,66.2,-0.268
27-10-21 00:00,13.9,90.1,0.16,23.4,61.9,-0.054,0.572,23.1,71.6,-0.08,0.09,21.4,66.1,-0.607,0.171,22.4,66.4,-0.292
27-10-21 01:00,14,91.1,0.077,23.3,62.1,-0.082,0.597,23,71.9,-0.107,0.076,21.4,66.2,-0.607,0.132,22.4,66.5,-0.289
27-10-21 02:00,14.1,90,0.043,23.4,62.3,-0.051,0.294,23,72.1,-0.106,0.064,21.3,66,-0.637,0.119,22.3,66.4,-0.317
